feat_1_,feat_2_,feat_3_,feat_4_,feat_5_,feat_6_,feat_7_,feat_8_,feat_9_,feat_10_,response,joint_prob,feat_comb_id
3,3,1,3,1,2,1,1,1,1,8.5,2.12998538824876e-05,306
1,1,2,3,1,2,1,1,1,1,5.5,0.000144421194977648,307
2,1,2,3,1,2,1,1,1,1,3.5,9.85948322531214e-05,308
3,1,2,3,1,2,1,1,1,1,4.5,4.58263627245264e-05,309
1,2,2,3,1,2,1,1,1,1,4.5,9.85948322531214e-05,310
2,2,2,3,1,2,1,1,1,1,8.5,6.73096559582247e-05,311
3,2,2,3,1,2,1,1,1,1,6.5,3.12851762948968e-05,312
1,3,2,3,1,2,1,1,1,1,6.5,4.58263627245264e-05,313
2,3,2,3,1,2,1,1,1,1,7.5,3.12851762948968e-05,314
3,3,2,3,1,2,1,1,1,1,11.5,1.45411864296296e-05,315
1,1,3,3,1,2,1,1,1,1,7.5,6.7126216607014e-05,316
2,1,3,3,1,2,1,1,1,1,5.5,4.58263627245264e-05,317
3,1,3,3,1,2,1,1,1,1,6.5,2.12998538824876e-05,318
1,2,3,3,1,2,1,1,1,1,6.5,4.58263627245264e-05,319
2,2,3,3,1,2,1,1,1,1,10.5,3.12851762948968e-05,320
3,2,3,3,1,2,1,1,1,1,8.5,1.45411864296296e-05,321
1,3,3,3,1,2,1,1,1,1,8.5,2.12998538824876e-05,322
2,3,3,3,1,2,1,1,1,1,9.5,1.45411864296296e-05,323
3,3,3,3,1,2,1,1,1,1,13.5,6.758667452858e-06,324
1,1,1,1,2,2,1,1,1,1,4,0.000455141545580461,325
2,1,1,1,2,2,1,1,1,1,2,0.000310720350602813,326
3,1,1,1,2,2,1,1,1,1,3,0.000144421194977648,327
1,2,1,1,2,2,1,1,1,1,3,0.000310720350602813,328
2,2,1,1,2,2,1,1,1,1,7,0.000212125518349692,329
3,2,1,1,2,2,1,1,1,1,5,9.85948322531214e-05,330
1,3,1,1,2,2,1,1,1,1,5,0.000144421194977648,331
2,3,1,1,2,2,1,1,1,1,6,9.85948322531214e-05,332
3,3,1,1,2,2,1,1,1,1,10,4.58263627245264e-05,333
1,1,2,1,2,2,1,1,1,1,8,0.000310720350602813,334
2,1,2,1,2,2,1,1,1,1,6,0.000212125518349692,335
3,1,2,1,2,2,1,1,1,1,7,9.85948322531214e-05,336
1,2,2,1,2,2,1,1,1,1,7,0.000212125518349692,337
2,2,2,1,2,2,1,1,1,1,11,0.000144815862391467,338
3,2,2,1,2,2,1,1,1,1,9,6.73096559582247e-05,339
1,3,2,1,2,2,1,1,1,1,9,9.85948322531214e-05,340
2,3,2,1,2,2,1,1,1,1,10,6.73096559582247e-05,341
3,3,2,1,2,2,1,1,1,1,14,3.12851762948968e-05,342
1,1,3,1,2,2,1,1,1,1,11,0.000144421194977648,343
2,1,3,1,2,2,1,1,1,1,9,9.85948322531214e-05,344
3,1,3,1,2,2,1,1,1,1,10,4.58263627245264e-05,345
1,2,3,1,2,2,1,1,1,1,10,9.85948322531214e-05,346
2,2,3,1,2,2,1,1,1,1,14,6.73096559582247e-05,347
3,2,3,1,2,2,1,1,1,1,12,3.12851762948968e-05,348
1,3,3,1,2,2,1,1,1,1,12,4.58263627245264e-05,349
2,3,3,1,2,2,1,1,1,1,13,3.12851762948968e-05,350
3,3,3,1,2,2,1,1,1,1,17,1.45411864296296e-05,351
1,1,1,2,2,2,1,1,1,1,4,0.000310720350602813,352
2,1,1,2,2,2,1,1,1,1,2,0.000212125518349692,353
3,1,1,2,2,2,1,1,1,1,3,9.85948322531214e-05,354
1,2,1,2,2,2,1,1,1,1,3,0.000212125518349692,355
2,2,1,2,2,2,1,1,1,1,7,0.000144815862391467,356
3,2,1,2,2,2,1,1,1,1,5,6.73096559582247e-05,357
1,3,1,2,2,2,1,1,1,1,5,9.85948322531214e-05,358
2,3,1,2,2,2,1,1,1,1,6,6.73096559582247e-05,359
3,3,1,2,2,2,1,1,1,1,10,3.12851762948968e-05,360
1,1,2,2,2,2,1,1,1,1,6,0.000212125518349692,361
2,1,2,2,2,2,1,1,1,1,4,0.000144815862391467,362
3,1,2,2,2,2,1,1,1,1,5,6.73096559582247e-05,363
1,2,2,2,2,2,1,1,1,1,5,0.000144815862391467,364
2,2,2,2,2,2,1,1,1,1,9,9.88642675494249e-05,365
3,2,2,2,2,2,1,1,1,1,7,4.59515948420424e-05,366
1,3,2,2,2,2,1,1,1,1,7,6.73096559582247e-05,367
2,3,2,2,2,2,1,1,1,1,8,4.59515948420424e-05,368
3,3,2,2,2,2,1,1,1,1,12,2.13580611161823e-05,369
1,1,3,2,2,2,1,1,1,1,10,9.85948322531214e-05,370
2,1,3,2,2,2,1,1,1,1,8,6.73096559582247e-05,371
3,1,3,2,2,2,1,1,1,1,9,3.12851762948968e-05,372
1,2,3,2,2,2,1,1,1,1,9,6.73096559582247e-05,373
2,2,3,2,2,2,1,1,1,1,13,4.59515948420424e-05,374
3,2,3,2,2,2,1,1,1,1,11,2.13580611161823e-05,375
1,3,3,2,2,2,1,1,1,1,11,3.12851762948968e-05,376
2,3,3,2,2,2,1,1,1,1,12,2.13580611161823e-05,377
3,3,3,2,2,2,1,1,1,1,16,9.92711517871451e-06,378
1,1,1,3,2,2,1,1,1,1,3,0.000144421194977648,379
2,1,1,3,2,2,1,1,1,1,1,9.85948322531214e-05,380
3,1,1,3,2,2,1,1,1,1,2,4.58263627245264e-05,381
1,2,1,3,2,2,1,1,1,1,2,9.85948322531214e-05,382
2,2,1,3,2,2,1,1,1,1,6,6.73096559582247e-05,383
3,2,1,3,2,2,1,1,1,1,4,3.12851762948968e-05,384
1,3,1,3,2,2,1,1,1,1,4,4.58263627245264e-05,385
