rn,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
Gaussian,0.0271408342202165,0.0227796013661197,0.0208129438659798,0.023577793150772,0.0177353569576945,0.0160736780331651,0.0146779858678942,0.0163719573405766,,,,,,,1.77399999999943,Linear,Linear,Gaussian,All var equal contribution,0.08,1,0.1,2000,100,1,1000,1235,5HnaW,2018-12-21T12:37:22.025494Z
copula,0.0324818237793827,0.0275078695840298,0.0222154283634918,0.0274017072423014,0.0206193044575809,0.0184096547770149,0.0187010672917162,0.0196574286299623,,,,,,,4.54399999999987,Linear,Linear,Gaussian,All var equal contribution,0.08,1,0.1,2000,100,1,1000,1235,5HnaW,2018-12-21T12:37:22.025494Z
empirical_sigma.01,0.0356657231153101,0.0297831657094366,0.0249570697299432,0.03013531951823,0.0406631125913521,0.0380166698643705,0.0346734252545679,0.0379910038456932,0.1,0.1,0.1,0.1,0.1,0.1,2.87299999999959,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,0.08,1,0.1,2000,100,1,1000,1235,hVzbs,2018-12-21T12:46:10.050236Z
empirical_AIC_each_k,0.0183510887797931,0.0135445985197685,0.00663280962133963,0.0128428323069671,0.0141389555377126,0.0122808719466831,0.00566858705611738,0.0122465185557016,0.917417121288933,0.917417121288933,0.917417121288933,0.477909689592609,0.477909689592609,0.477909689592609,1869.775,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,0.08,1,0.1,2000,100,1,1000,1235,hVzbs,2018-12-21T12:46:10.050236Z
empirical_AIC_full,0.0187035234123648,0.0137760924050864,0.00732716640314324,0.0132689274068648,0.0150972911175494,0.0121607065317833,0.00974797538217944,0.0133291523029005,0.758248152516569,1.41369379812488,0.532576116774817,0.388097929085843,0.495782548403655,0.554075219470541,1560.944,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,0.08,1,0.1,2000,100,1,1000,1235,hVzbs,2018-12-21T12:46:10.050236Z
empirical_independence,0.0271655382591799,0.0181118937381043,0.0121823053162457,0.0191532457711767,0.0209638404278718,0.0141904305325176,0.00910104610097248,0.0166642872150044,Inf,Inf,Inf,Inf,Inf,Inf,2.99099999999999,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,0.08,1,0.1,2000,100,1,1000,1235,hVzbs,2018-12-21T12:46:10.050236Z
Gaussian,0.00887481776461095,0.00796857777398854,0.00867489688489542,0.0085060974744983,0.00654840051977904,0.00634807721165849,0.00667809352863468,0.00651605109715614,,,,,,,2.80799999999908,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,0.08,1,0.1,2000,100,1,1000,1235,hVzbs,2018-12-21T12:46:10.050236Z
copula,0.00914591853426055,0.00962848193978754,0.0095075227241134,0.0094273077327205,0.00611543237687787,0.00721076692551635,0.00711470430767346,0.00681181956944115,,,,,,,6.1190000000006,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,0.08,1,0.1,2000,100,1,1000,1235,hVzbs,2018-12-21T12:46:10.050236Z
treeSHAP,0.024549283689657,0.0190879706879527,0.00795722859564758,0.0171981609910858,0.0202659329680142,0.0152419211290414,0.00677066236997107,0.0166106568542338,,,,,,,0.00599999999940337,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,0.08,1,0.1,2000,100,1,1000,1235,hVzbs,2018-12-21T12:46:10.050236Z
empirical_sigma.01,0.0726944549869779,0.0486368209198783,0.0653827043526205,0.0622379934198256,0.0800124009771395,0.0568210479793516,0.0705944282930561,0.0702890970180801,0.1,0.1,0.1,0.1,0.1,0.1,1.83699999999953,Linear,Linear,Gaussian,All var equal contribution,0.12,1,0.1,2000,100,1,1000,1235,Mm4LF,2018-12-21T13:20:15.529629Z
empirical_AIC_each_k,0.0366467895231696,0.0314688769128894,0.0253699098680647,0.0311618587680412,0.0336131281937001,0.0330899943494507,0.024214928452054,0.0308560512747708,0.531302182374967,0.531302182374967,0.531302182374967,0.347417839319423,0.347417839319423,0.347417839319423,1134.291,Linear,Linear,Gaussian,All var equal contribution,0.12,1,0.1,2000,100,1,1000,1235,Mm4LF,2018-12-21T13:20:15.529629Z
empirical_AIC_full,0.0362576380559506,0.0311697689421818,0.0253503220540544,0.0309259096840623,0.0336751135451165,0.0327307485971937,0.0243310081757043,0.0307591462086262,0.526301789372827,0.540625180218223,0.526071896528104,0.283254882310011,0.369050623443256,0.366489613065229,1308.836,Linear,Linear,Gaussian,All var equal contribution,0.12,1,0.1,2000,100,1,1000,1235,Mm4LF,2018-12-21T13:20:15.529629Z
empirical_independence,0.104495825379756,0.102521782215756,0.111521258938202,0.106179622177905,0.0785200141693715,0.0810466216101534,0.0820133327755354,0.0803634739534216,Inf,Inf,Inf,Inf,Inf,Inf,1.90499999999884,Linear,Linear,Gaussian,All var equal contribution,0.12,1,0.1,2000,100,1,1000,1235,Mm4LF,2018-12-21T13:20:15.529629Z
Gaussian,0.0274427992092386,0.0228929541306406,0.020796676874861,0.02371081007158,0.017878232524634,0.0162936948022644,0.0145091749502774,0.0164668952521299,,,,,,,1.73199999999997,Linear,Linear,Gaussian,All var equal contribution,0.12,1,0.1,2000,100,1,1000,1235,Mm4LF,2018-12-21T13:20:15.529629Z
copula,0.0333038782266537,0.0279469138543536,0.0224213872549203,0.0278907264453092,0.0204757526944967,0.0180503001202122,0.0186484739123488,0.0195358006743751,,,,,,,4.46200000000135,Linear,Linear,Gaussian,All var equal contribution,0.12,1,0.1,2000,100,1,1000,1235,Mm4LF,2018-12-21T13:20:15.529629Z
