rn,skillscoremean_X1,skillscoremean_X2,skillscoremean_X3,skillscoremean_total,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,mu.scale,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_AIC_full,0.975206300460196,0.98590062667182,0.978743789312641,0.979950238814886,0.036119164834863,0.0797397463091901,0.0826368157547029,0.0661652422995853,0.0613085394807793,0.0701511392330111,0.053198618215062,0.0615527656429508,0.0504645313847032,0.0580491015128526,0.0395957250059298,0.0502606254980165,0.0980965645582808,0.0316307356140589,0.0891077588815779,0.137050323605688,0.0723603334326444,0.240253720998982,1272.204,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,5,0.2,0.5,0.1,2000,100,1,1000,1236,N6xHi,2019-01-17T18:15:54.550338Z
empirical_independence,0,0,0,0,1.41606244857335,4.62406951940836,2.35404553702526,2.79805916833566,2.47274673077146,4.97547923586088,2.50273291874639,3.31698629512624,0.208837317487103,0.246669085571522,0.219952173697227,1.19609972108121,Inf,Inf,Inf,Inf,Inf,Inf,3.35199999999895,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,5,0.2,0.5,0.1,2000,100,1,1000,1236,N6xHi,2019-01-17T18:15:54.550338Z
Gaussian,0.765247137659054,0.777695605457592,0.760737669134045,0.76789347075023,0.329276457238399,1.73246343016851,0.64486159916177,0.902200495522892,0.580484372892818,1.10607089908637,0.598809711674217,0.761788327884469,0.414088160497219,0.813840583041682,0.41290707776926,0.626136002747623,,,,,,,2.91100000000006,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,5,0.2,0.5,0.1,2000,100,1,1000,1236,N6xHi,2019-01-17T18:15:54.550338Z
copula,0.491650688365762,0.495894585916615,0.483036296292968,0.490193856858448,0.624171587916014,1.35007276804036,1.09921645973087,1.02448693856242,1.25701909843348,2.50816602045693,1.29382207906465,1.68633573265169,0.738213444467284,1.1992517717973,0.737376765884757,1.08430645732783,,,,,,,8.03800000000047,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,5,0.2,0.5,0.1,2000,100,1,1000,1236,N6xHi,2019-01-17T18:15:54.550338Z
empirical_sigma.01,0.979332190460935,0.987622605614082,0.982431065209406,0.983128620428141,0.0281132587751712,0.0378815738263835,0.0353827501443355,0.0337925275819634,0.0517995930740307,0.06155763222824,0.0433443002160462,0.052233841839439,0.0434243923856863,0.0516692686979304,0.0457175379548239,0.0474964360690427,0.1,0.1,0.1,0.1,0.1,0.1,2.90999999999985,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,5,0.2,0.5,0.1,2000,100,1,1000,1235,KhhvZ,2019-01-17T18:19:27.400135Z
empirical_AIC_each_k,0.979759084100654,0.98689232045815,0.982754473034537,0.983135292531114,0.0280102379598838,0.0422453125827635,0.0346655447459824,0.0349736984295432,0.0507296723946502,0.065189626462965,0.0425464211168403,0.0528219066581518,0.0408703336915367,0.0549107087327211,0.046316108728496,0.0484728937025503,0.0824274557773045,0.0824274557773045,0.0824274557773045,0.132861047154002,0.132861047154002,0.132861047154002,1760.605,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,5,0.2,0.5,0.1,2000,100,1,1000,1235,KhhvZ,2019-01-17T18:19:27.400135Z
empirical_AIC_full,0.971821143089646,0.979261593527906,0.975125188306436,0.975402641641329,0.0357443680880076,0.0626810247615335,0.0528521480621243,0.0504258469705551,0.0706244809586007,0.103140221504236,0.0613686213031343,0.078377774588657,0.105160217501832,0.196309653826175,0.096726221145692,0.140858803907636,0.0918821141018833,0.00909634245950737,0.0858732037686773,0.26894071851576,0.081884543828725,0.257972707306549,1637.479,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,5,0.2,0.5,0.1,2000,100,1,1000,1235,KhhvZ,2019-01-17T18:19:27.400135Z
empirical_independence,0,0,0,0,1.30101943591681,3.3571508086506,1.55204317182968,2.07007113879903,2.50629332422108,4.97339183909927,2.46709892959765,3.31559469763933,0.2216862748371,0.268173945814081,0.229151399008351,1.19852778317167,Inf,Inf,Inf,Inf,Inf,Inf,3.51900000000023,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,5,0.2,0.5,0.1,2000,100,1,1000,1235,KhhvZ,2019-01-17T18:19:27.400135Z
Gaussian,0.765907667551978,0.772537576491381,0.754821641361058,0.764422295134806,0.300164709616939,0.905025686693768,0.499536656090065,0.568242350800257,0.586704050065819,1.13125976077951,0.604879266158641,0.774281025667989,0.410383043195479,0.742032804235599,0.382771944176727,0.59208880523364,,,,,,,3.16100000000006,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,5,0.2,0.5,0.1,2000,100,1,1000,1235,KhhvZ,2019-01-17T18:19:27.400135Z
copula,0.514672282052558,0.517471434136136,0.482912747848567,0.505018821345754,0.56407092551926,0.952190362915842,0.842828287628323,0.786363192021142,1.21637361955112,2.39980363159962,1.27570540629139,1.63062755248071,0.778924574887964,1.33845640073395,0.745785195882441,1.12942531840071,,,,,,,8.57500000000073,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,5,0.2,0.5,0.1,2000,100,1,1000,1235,KhhvZ,2019-01-17T18:19:27.400135Z
