none,group1,group2,group3,group4,group5,group1_rank,group2_rank,group3_rank,group4_rank,group5_rank,correlation,pre_grouped,standardized,test_id,model_type,grouping,No_test_obs,Time
3.34334013622486,-1.03887959588,-0.936972711748586,-0.817839778586838,-3.94708982519147,-5.86237520912986,3,2,1,4,5,0,1,0,77,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334006909136,2.7102126471969,-0.943449049812513,-1.58252077783407,-0.838511323622422,-8.86151359443479,1,3,4,2,5,0,1,0,78,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334008927018,-0.65925731055574,-0.845515143031344,-0.76057026201554,-1.43354892603912,-0.416208420024241,2,4,3,5,1,0,1,0,79,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334007772508,-0.621741520205318,-0.234893183098875,-0.711550129240877,-1.39916363141526,-0.989419830113162,2,1,3,5,4,0,1,0,80,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334010046786,-0.929058790097698,-4.12611467893998,-0.811524576427923,-0.819437687085131,0.556078992487264,4,5,2,3,1,0,1,0,81,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334002619368,0.460951702303317,-0.115618119541105,0.343146782054759,1.97318529863023,-0.89091457949849,2,4,3,1,5,0,1,0,82,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334004352098,-1.62971175316939,5.25636070628136,-0.577735251889209,-0.731324504435778,-0.83292499419302,5,1,2,3,4,0,1,0,83,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334001115422,-0.647839308080453,-0.701620552021903,-0.633578421557546,-12.6159418527984,-0.500982431131437,3,4,2,5,1,0,1,0,84,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334015521706,-0.44013579585012,-1.08927139700136,-0.768542662726599,14.3982770924665,-1.14422545669575,2,4,3,1,5,0,1,0,85,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334011981347,0.285465458507515,-12.8731976107652,-1.04789194410462,3.46378766558129,-1.04052081327231,2,5,4,1,3,0,1,0,86,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334010902582,-7.25340873844933,-9.83208350137643,17.0529658755447,30.6540681914861,3.74827094423422,4,5,2,1,3,0,1,0,87,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334012251161,-0.799259277930945,5.79568892122315,-1.08278403447192,-1.00312473361526,-0.824498330560796,2,1,5,4,3,0,1,0,88,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334006126465,-1.82452641101777,-0.614215010179863,-0.571278087293645,18.5364858614721,0.174542398984503,5,4,3,1,2,0,1,0,89,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334010798064,-0.343575315017158,0.0237703554681992,4.89220581258833,-0.653407636687797,-0.62206980688789,3,2,1,5,4,0,1,0,90,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334012177867,3.96952745237695,0.542034230748712,-0.53666815232185,-0.668775005216871,12.2897051440614,2,3,4,5,1,0,1,0,91,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334004159011,1.57603167407569,-0.763235630368873,-0.570626157902475,-1.35067725081191,0.244044590026187,1,4,3,5,2,0,1,0,92,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
