rn,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,mu.scale,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_independence,1.13064538355515,2.11530892196126,1.06839278115093,1.43811569555578,5.02237930759969,10.00138494978,4.9790106623453,6.66759163990834,0.42054259355165,0.481096715014902,0.45908296092986,2.40436363224641,Inf,Inf,Inf,Inf,Inf,Inf,6.21699999999692,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,10,0.5,0.5,0.1,2000,100,1,1000,1237,DREN2,2019-01-03T17:51:50.957900Z
Gaussian,0.120974503953903,0.256707809645166,0.124822321886206,0.167501545161758,0.571155999286535,1.170646067426,0.601550573510436,0.781117546740989,0.439614838670579,0.880548414601881,0.444041066945694,0.679907974252896,,,,,,,6.14300000000367,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,10,0.5,0.5,0.1,2000,100,1,1000,1237,DREN2,2019-01-03T17:51:50.957900Z
copula,0.631891400219004,1.2369419605522,0.65295521190373,0.840596190891645,3.07022688614976,6.31644392930112,3.27209098291902,4.2195872661233,1.36882635799249,1.76098500712479,1.35064219122138,2.11275665134971,,,,,,,12.7019999999975,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,10,0.5,0.5,0.1,2000,100,1,1000,1237,DREN2,2019-01-03T17:51:50.957900Z
empirical_sigma.01,0.0356175774865437,0.0457742235559042,0.0427386585270569,0.0413768198565016,0.146810518897063,0.209442569685758,0.167466412264333,0.174573166949051,0.113858589342852,0.161225174410834,0.141981243146557,0.142319526491689,0.1,0.1,0.1,0.1,0.1,0.1,6.42000000000189,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,10,0.5,0.5,0.1,2000,100,1,1000,1235,FqrrP,2019-01-03T17:53:13.499999Z
empirical_AIC_each_k,0.0188726445011512,0.0222697406484163,0.0177720305669717,0.0196381385721797,0.0795358110071497,0.100845369272136,0.0696584480542093,0.0833465427778316,0.0671746808466932,0.0926679519396876,0.0574517586210725,0.0748344466190979,0.0315759059977383,0.0315759059977383,0.0315759059977383,0.0340886651641694,0.0340886651641694,0.0340886651641694,4467.671,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,10,0.5,0.5,0.1,2000,100,1,1000,1235,FqrrP,2019-01-03T17:53:13.499999Z
empirical_AIC_full,0.0159702902579393,0.0176959070117531,0.0126885460743011,0.0154515811146645,0.0634454865674853,0.0780194032941801,0.0523396553283444,0.0646015150633366,0.0571754738351434,0.0743231376075085,0.0464291585469754,0.0611234656605958,0.0275941839904476,0.0540268920747828,0.0274399718828766,0.0995898821719608,0.0281605952735415,0.109781213220974,3365.258,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,10,0.5,0.5,0.1,2000,100,1,1000,1235,FqrrP,2019-01-03T17:53:13.499999Z
empirical_independence,1.11795425951788,2.1719769759335,1.12218443087428,1.47070522210855,5.04348851953816,9.99303344228093,4.94954993801474,6.66202396661127,0.379338351884898,0.452652368538118,0.431338939862993,2.39685866055997,Inf,Inf,Inf,Inf,Inf,Inf,6.22200000000157,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,10,0.5,0.5,0.1,2000,100,1,1000,1235,FqrrP,2019-01-03T17:53:13.499999Z
Gaussian,0.139086528582013,0.269151996858648,0.145467121410727,0.184568548950463,0.619519681871141,1.21747347839,0.598172067862091,0.811721742707744,0.402021745649014,0.795704727078033,0.396305384116141,0.630731052838104,,,,,,,6.00299999999697,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,10,0.5,0.5,0.1,2000,100,1,1000,1235,FqrrP,2019-01-03T17:53:13.499999Z
copula,0.658210990893444,1.23724321100083,0.649679366169818,0.848377856021365,3.09519158748688,6.17357156738357,3.09739943559853,4.12205419682299,1.2955014239628,1.9280710531329,1.24986405193312,2.1012379193225,,,,,,,12.3669999999984,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,10,0.5,0.5,0.1,2000,100,1,1000,1235,FqrrP,2019-01-03T17:53:13.499999Z
empirical_sigma.01,0.0367462772253571,0.0456846352125324,0.0420954177637962,0.0415087767338952,0.155794088586893,0.205541980173244,0.172149026053478,0.177828364937872,0.108865042601455,0.159921162181766,0.151299902323719,0.142834029547858,0.1,0.1,0.1,0.1,0.1,0.1,8.6160000000018,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,10,0.5,0.5,0.1,2000,100,1,1000,1239,GNmCJ,2019-01-03T18:04:42.089757Z
empirical_AIC_each_k,0.0172109161713519,0.0203552546488581,0.0213804409125897,0.0196488705775999,0.0734224295776063,0.0869678382452068,0.0894554571093635,0.0832819083107255,0.0672090056857586,0.0789520939749339,0.0872941517690805,0.0783098064509769,0.0303295435171268,0.0303295435171268,0.0303295435171268,0.03477204730581,0.03477204730581,0.03477204730581,4940.985,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,10,0.5,0.5,0.1,2000,100,1,1000,1239,GNmCJ,2019-01-03T18:04:42.089757Z
empirical_AIC_full,0.0154643692435624,0.0166394279810344,0.0156193548928758,0.0159077173724908,0.0659434535238042,0.068122791904875,0.0656376353769708,0.06656796026855,0.0688966651943007,0.0597778009501968,0.0695781747810504,0.0660224923618192,0.02946961552024,0.0578561408277462,0.0269230403535809,0.135235982076632,0.0290358229241271,0.124213118242804,3351.945,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,10,0.5,0.5,0.1,2000,100,1,1000,1239,GNmCJ,2019-01-03T18:04:42.089757Z
empirical_independence,1.10198817061645,2.24052777624333,1.1450904539981,1.49586880028596,4.9691517172318,9.9931257873725,5.02397903208294,6.66208551222908,0.398083269467974,0.395658012597772,0.378191890158703,2.39136624309325,Inf,Inf,Inf,Inf,Inf,Inf,7.24300000000221,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,10,0.5,0.5,0.1,2000,100,1,1000,1239,GNmCJ,2019-01-03T18:04:42.089757Z
Gaussian,0.14622138378928,0.306066488766961,0.142309341933144,0.198199071496462,0.682267493675574,1.34351497020362,0.66213587698395,0.895972780287716,0.52509257518734,1.04034830017171,0.515837062219898,0.798940976477315,,,,,,,6.28899999999703,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,10,0.5,0.5,0.1,2000,100,1,1000,1239,GNmCJ,2019-01-03T18:04:42.089757Z
copula,0.615970406121558,1.20716802548083,0.62413028181088,0.815756237804424,3.02733639026752,5.98370178669018,2.9749007674152,3.99531298145763,1.37505205552378,2.00245893206253,1.37789006672637,2.13688023656043,,,,,,,14.4950000000026,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,10,0.5,0.5,0.1,2000,100,1,1000,1239,GNmCJ,2019-01-03T18:04:42.089757Z
empirical_sigma.01,0.0351554497433544,0.0388532000606115,0.0329554339306268,0.0356546945781975,0.151138726309365,0.177532627445964,0.146882046823518,0.158517800192949,0.114588552489472,0.158422364517312,0.108302560077238,0.129327376635628,0.1,0.1,0.1,0.1,0.1,0.1,5.65700000000288,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,10,0.5,0.5,0.1,2000,100,1,1000,1236,TrdP3,2019-01-03T18:19:02.663136Z
empirical_AIC_each_k,0.0204342731646099,0.0211239555058967,0.0133044786723871,0.0182875691142979,0.0751791648742695,0.0822410119127317,0.058050284476115,0.0718234870877054,0.0875785028506621,0.0973894886777139,0.0449558420602869,0.0803284719114061,0.0249362973603506,0.0249362973603506,0.0249362973603506,0.0355386157243474,0.0355386157243474,0.0355386157243474,4962.718,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,10,0.5,0.5,0.1,2000,100,1,1000,1236,TrdP3,2019-01-03T18:19:02.663136Z
empirical_AIC_full,0.0177419210936766,0.0187885292121542,0.0105510123610291,0.0156938208889533,0.0674289325817114,0.0699700749429142,0.046228161299001,0.0612090562745422,0.0716779964326171,0.0796774225430279,0.0390875776701169,0.0665031858110477,0.0226834031396835,0.0481083680441895,0.0200102013583815,0.0705291060366223,0.0291053935173208,0.142895985707442,4092.142,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,10,0.5,0.5,0.1,2000,100,1,1000,1236,TrdP3,2019-01-03T18:19:02.663136Z
