none,group1,group2,group3,group4,group5,group1_rank,group2_rank,group3_rank,group4_rank,group5_rank,correlation,pre_grouped,standardized,test_id,model_type,grouping,No_test_obs
5.41676173112031,-1.12947758524552,-0.107283418254943,0.687422946132671,-0.0759094068199894,-0.360699356128262,5,3,1,2,4,0,1,0,69,experiment_gam1,B,100
5.41676172694246,0.377299589945121,0.677806346720624,0.447876135631204,0.569775881612772,0.791648209307302,5,2,4,3,1,0,1,0,70,experiment_gam1,B,100
5.41676173179317,0.788455844180968,0.375566058400311,0.697026390836217,-0.491508182361024,-0.575607011166577,1,3,2,4,5,0,1,0,71,experiment_gam1,B,100
5.416761725981,0.517401274359462,-2.15523536282718,-0.871866767484635,-0.29717090794576,0.461664542101695,1,5,4,3,2,0,1,0,72,experiment_gam1,B,100
5.41676172670135,0.741057227633912,0.271665830939916,0.546946015098686,0.00315590878648941,0.624990665023146,1,4,3,5,2,0,1,0,73,experiment_gam1,B,100
5.41676173239803,0.579918060357918,0.39958800291649,0.753810101960953,0.771039045626739,-0.659774793598878,3,4,2,1,5,0,1,0,74,experiment_gam1,B,100
5.41676173079734,-0.0455658687300669,-0.0557596099763718,-0.71692660631453,0.54067433499663,-1.13698912765087,2,3,4,1,5,0,1,0,75,experiment_gam1,B,100
5.41676172990466,-0.286618303567005,0.225337568235022,0.646102702396272,0.584136910682146,0.275320037063237,5,4,1,2,3,0,1,0,76,experiment_gam1,B,100
5.41676173356027,-1.66003604922888,-0.0899057821628921,0.345731353939753,-0.0885608999899043,-0.692981507282499,5,3,1,2,4,0,1,0,77,experiment_gam1,B,100
5.4167617295497,0.143961598231469,0.191234937281421,0.294721845275168,0.5764678627045,-1.13562841119193,4,3,2,1,5,0,1,0,78,experiment_gam1,B,100
5.41676172785391,0.619789430630586,0.516949278874668,0.214141267813325,0.467576545694731,0.5409574628137,1,3,5,4,2,0,1,0,79,experiment_gam1,B,100
5.41676172662309,0.0977244894776019,0.243985528728588,0.752866627072069,0.203953252706428,0.711483121035575,5,3,1,4,2,0,1,0,80,experiment_gam1,B,100
5.41676172966329,-0.515978649729126,0.480903690817805,0.566815853121205,-0.0292186123950391,0.439510721990328,5,2,1,4,3,0,1,0,81,experiment_gam1,B,100
5.41676173050573,0.0277746341354816,0.128401788761874,0.477372209513773,0.193286206821361,0.422365674511683,5,4,1,3,2,0,1,0,82,experiment_gam1,B,100
5.4167617242517,0.389272342230885,0.485198309808427,0.566175264829084,0.0152712978917873,0.216214213627637,3,2,1,5,4,0,1,0,83,experiment_gam1,B,100
5.41676172687072,-0.485384796420998,-0.569583838645007,0.700414057833326,-0.764461151076649,0.508825323747451,3,4,1,5,2,0,1,0,84,experiment_gam1,B,100
5.41676172827155,-1.26042909093113,0.357889464944029,-0.855790350552688,-0.54402125685064,0.715368204536691,5,2,4,3,1,0,1,0,85,experiment_gam1,B,100
