none,group1,group2,group3,group4,group5,group1_rank,group2_rank,group3_rank,group4_rank,group5_rank,correlation,pre_grouped,standardized,test_id,model_type,grouping,No_test_obs
-0.724169984329009,0.788726973560729,0.65956678080014,-0.147053224921091,-0.106588371792501,2.76273905231441,2,3,5,4,1,0,1,0,59,experiment_lm1,B,100
-0.724169999833172,0.555922643749556,0.383953784729936,0.135674241658347,1.04958104677887,-0.187232278089646,2,3,4,1,5,0,1,0,60,experiment_lm1,B,100
-0.724169980598204,0.132897773652157,-1.34188982816121,1.41154254941316,-0.899305148122222,-3.37688534082086,2,4,1,3,5,0,1,0,61,experiment_lm1,B,100
-0.724169996990756,0.683337858801519,0.0488673536274979,-0.20343283201112,0.804777614158905,2.20637089909552,3,4,5,2,1,0,1,0,62,experiment_lm1,B,100
-0.72416998517456,-0.221540442283152,0.225639024128887,1.22927164547423,-0.548528758083336,1.79558786304715,4,3,2,5,1,0,1,0,63,experiment_lm1,B,100
-0.72416999780682,0.377324893014156,-1.65134969292481,-0.261663823036802,-0.412076565022105,-1.88013534943335,1,4,2,3,5,0,1,0,64,experiment_lm1,B,100
-0.724169988662016,0.0460338918235577,-0.0417164610473428,1.05072969708964,-0.311949646550472,-2.14949509745143,2,3,1,4,5,0,1,0,65,experiment_lm1,B,100
-0.724169986143768,-0.709870856886696,-3.38922609955923,-0.237704331803461,-1.09955655125163,-2.3105087113692,2,5,1,3,4,0,1,0,66,experiment_lm1,B,100
-0.724169991992417,-0.140229570867389,0.176442424483998,-0.303317932008138,1.08775887257551,-0.69566169007284,3,2,4,1,5,0,1,0,67,experiment_lm1,B,100
-0.724169982642959,-0.366646072753282,0.976300310170288,0.205553206559997,0.355664985092413,-2.64235458051664,4,1,3,2,5,0,1,0,68,experiment_lm1,B,100
-0.724169989675202,0.961580846111672,-0.0429742339670722,0.19088479955443,-0.328690279677303,-1.65345758677546,1,3,2,4,5,0,1,0,69,experiment_lm1,B,100
-0.724169985760482,-0.809966304147911,-0.527321271380645,-0.290594985882937,-0.560841804377539,0.27866120474099,5,3,2,4,1,0,1,0,70,experiment_lm1,B,100
-0.724169974304541,0.0970113924656664,1.38923054318059,-0.242534636434823,-1.52859150075981,0.84801251890062,3,1,4,5,2,0,1,0,71,experiment_lm1,B,100
-0.724169975650385,-0.274615514127558,-1.20252169503165,1.64811389413609,-0.430694351270746,-1.22124442151827,2,4,1,3,5,0,1,0,72,experiment_lm1,B,100
-0.724169978447008,0.23916065124503,1.10675460810163,-0.322493414548589,-0.0753162197358639,-0.0299240336101136,2,1,5,4,3,0,1,0,73,experiment_lm1,B,100
-0.724169980609287,0.510224984966873,1.4319944503641,-0.274170237146687,-0.132902113565819,-0.185622865389192,2,1,5,3,4,0,1,0,74,experiment_lm1,B,100
