n_vars,n_test,n_train,correlation,model,n_batches,n_samples,n_cores,computer_name,approach,time
10,20,1000,0.5,xgboost,6,1000,32,Linuxjullum,independence,11.3589999999999
5,5,10000,0.5,xgboost,6,1000,32,Linuxjullum,independence,7.53600000000006
7,5,10000,0.5,xgboost,6,1000,32,Linuxjullum,independence,7.73000000000002
10,5,10000,0.5,xgboost,6,1000,32,Linuxjullum,independence,9.08799999999997
5,20,10000,0.5,xgboost,6,1000,32,Linuxjullum,independence,7.77999999999997
7,20,10000,0.5,xgboost,6,1000,32,Linuxjullum,independence,8.25200000000018
10,20,10000,0.5,xgboost,6,1000,32,Linuxjullum,independence,11.9360000000001
7,5,1000,0.5,xgboost,8,1000,32,Linuxjullum,independence,9.53300000000013
10,5,1000,0.5,xgboost,8,1000,32,Linuxjullum,independence,10.6770000000001
7,20,1000,0.5,xgboost,8,1000,32,Linuxjullum,independence,10.1879999999999
10,20,1000,0.5,xgboost,8,1000,32,Linuxjullum,independence,13.1489999999999
7,5,10000,0.5,xgboost,8,1000,32,Linuxjullum,independence,10.1079999999999
10,5,10000,0.5,xgboost,8,1000,32,Linuxjullum,independence,11.146
7,20,10000,0.5,xgboost,8,1000,32,Linuxjullum,independence,10.4169999999999
10,20,10000,0.5,xgboost,8,1000,32,Linuxjullum,independence,13.53
7,5,1000,0.5,xgboost,10,1000,32,Linuxjullum,independence,11.8800000000001
10,5,1000,0.5,xgboost,10,1000,32,Linuxjullum,independence,12.5459999999998
7,20,1000,0.5,xgboost,10,1000,32,Linuxjullum,independence,11.865
10,20,1000,0.5,xgboost,10,1000,32,Linuxjullum,independence,14.5369999999998
7,5,10000,0.5,xgboost,10,1000,32,Linuxjullum,independence,12.1590000000001
10,5,10000,0.5,xgboost,10,1000,32,Linuxjullum,independence,12.731
7,20,10000,0.5,xgboost,10,1000,32,Linuxjullum,independence,12.2679999999998
10,20,10000,0.5,xgboost,10,1000,32,Linuxjullum,independence,14.992
7,5,1000,0.5,xgboost,15,1000,32,Linuxjullum,independence,16.5999999999999
10,5,1000,0.5,xgboost,15,1000,32,Linuxjullum,independence,17.4869999999999
7,20,1000,0.5,xgboost,15,1000,32,Linuxjullum,independence,16.7859999999998
10,20,1000,0.5,xgboost,15,1000,32,Linuxjullum,independence,19.452
7,5,10000,0.5,xgboost,15,1000,32,Linuxjullum,independence,17.21
10,5,10000,0.5,xgboost,15,1000,32,Linuxjullum,independence,17.674
7,20,10000,0.5,xgboost,15,1000,32,Linuxjullum,independence,16.8180000000002
10,20,10000,0.5,xgboost,15,1000,32,Linuxjullum,independence,19.6899999999996
7,5,1000,0.5,xgboost,20,1000,32,Linuxjullum,independence,21.703
10,5,1000,0.5,xgboost,20,1000,32,Linuxjullum,independence,22.8000000000002
7,20,1000,0.5,xgboost,20,1000,32,Linuxjullum,independence,21.5410000000002
10,20,1000,0.5,xgboost,20,1000,32,Linuxjullum,independence,24.0650000000001
7,5,10000,0.5,xgboost,20,1000,32,Linuxjullum,independence,22.7340000000004
10,5,10000,0.5,xgboost,20,1000,32,Linuxjullum,independence,22.7220000000002
7,20,10000,0.5,xgboost,20,1000,32,Linuxjullum,independence,22.4919999999997
10,20,10000,0.5,xgboost,20,1000,32,Linuxjullum,independence,24.8029999999999
7,5,1000,0.5,xgboost,25,1000,32,Linuxjullum,independence,26.7799999999997
10,5,1000,0.5,xgboost,25,1000,32,Linuxjullum,independence,27.4659999999999
7,20,1000,0.5,xgboost,25,1000,32,Linuxjullum,independence,27.2509999999998
10,20,1000,0.5,xgboost,25,1000,32,Linuxjullum,independence,29.306
7,5,10000,0.5,xgboost,25,1000,32,Linuxjullum,independence,27.386
10,5,10000,0.5,xgboost,25,1000,32,Linuxjullum,independence,27.933
7,20,10000,0.5,xgboost,25,1000,32,Linuxjullum,independence,28.1709999999998
10,20,10000,0.5,xgboost,25,1000,32,Linuxjullum,independence,28.7469999999998
7,5,1000,0.5,xgboost,30,1000,32,Linuxjullum,independence,32.163
10,5,1000,0.5,xgboost,30,1000,32,Linuxjullum,independence,32.6959999999999
7,20,1000,0.5,xgboost,30,1000,32,Linuxjullum,independence,32.317
10,20,1000,0.5,xgboost,30,1000,32,Linuxjullum,independence,34.3380000000002
7,5,10000,0.5,xgboost,30,1000,32,Linuxjullum,independence,32.6849999999999
10,5,10000,0.5,xgboost,30,1000,32,Linuxjullum,independence,32.3910000000001
7,20,10000,0.5,xgboost,30,1000,32,Linuxjullum,independence,33.4010000000003
10,20,10000,0.5,xgboost,30,1000,32,Linuxjullum,independence,34.268
10,5,1000,0.5,xgboost,35,1000,32,Linuxjullum,independence,34.9690000000001
10,20,1000,0.5,xgboost,35,1000,32,Linuxjullum,independence,36.9259999999999
10,5,10000,0.5,xgboost,35,1000,32,Linuxjullum,independence,35.4490000000001
10,20,10000,0.5,xgboost,35,1000,32,Linuxjullum,independence,37.0900000000001
10,5,1000,0.5,xgboost,40,1000,32,Linuxjullum,independence,35.0220000000004
10,20,1000,0.5,xgboost,40,1000,32,Linuxjullum,independence,36.9090000000001
10,5,10000,0.5,xgboost,40,1000,32,Linuxjullum,independence,35.1150000000002
10,20,10000,0.5,xgboost,40,1000,32,Linuxjullum,independence,36.7429999999999
10,5,1000,0.5,xgboost,45,1000,32,Linuxjullum,independence,34.6010000000001
10,20,1000,0.5,xgboost,45,1000,32,Linuxjullum,independence,36.52
10,5,10000,0.5,xgboost,45,1000,32,Linuxjullum,independence,34.7669999999998
10,20,10000,0.5,xgboost,45,1000,32,Linuxjullum,independence,36.7000000000003
10,5,1000,0.5,xgboost,50,1000,32,Linuxjullum,independence,34.4099999999999
10,20,1000,0.5,xgboost,50,1000,32,Linuxjullum,independence,36.4980000000001
10,5,10000,0.5,xgboost,50,1000,32,Linuxjullum,independence,34.6959999999999
10,20,10000,0.5,xgboost,50,1000,32,Linuxjullum,independence,36.3389999999999
5,5,1000,0.5,xgboost,1,1000,8,Linuxjullum,independence,2.01400000000012
7,5,1000,0.5,xgboost,1,1000,8,Linuxjullum,independence,2.69000000000005
10,5,1000,0.5,xgboost,1,1000,8,Linuxjullum,independence,6.63099999999986
5,20,1000,0.5,xgboost,1,1000,8,Linuxjullum,independence,2.40700000000015
7,20,1000,0.5,xgboost,1,1000,8,Linuxjullum,independence,4.24200000000019
10,20,1000,0.5,xgboost,1,1000,8,Linuxjullum,independence,17.1110000000003
5,5,10000,0.5,xgboost,1,1000,8,Linuxjullum,independence,2.04600000000028
7,5,10000,0.5,xgboost,1,1000,8,Linuxjullum,independence,2.87599999999975
10,5,10000,0.5,xgboost,1,1000,8,Linuxjullum,independence,7.06100000000015
5,20,10000,0.5,xgboost,1,1000,8,Linuxjullum,independence,2.68100000000004
7,20,10000,0.5,xgboost,1,1000,8,Linuxjullum,independence,4.66899999999987
10,20,10000,0.5,xgboost,1,1000,8,Linuxjullum,independence,18.3499999999999
5,5,1000,0.5,xgboost,2,1000,8,Linuxjullum,independence,2.90200000000004
7,5,1000,0.5,xgboost,2,1000,8,Linuxjullum,independence,3.22800000000007
10,5,1000,0.5,xgboost,2,1000,8,Linuxjullum,independence,5.64100000000008
5,20,1000,0.5,xgboost,2,1000,8,Linuxjullum,independence,3.17300000000023
7,20,1000,0.5,xgboost,2,1000,8,Linuxjullum,independence,4.1880000000001
10,20,1000,0.5,xgboost,2,1000,8,Linuxjullum,independence,11.2289999999998
5,5,10000,0.5,xgboost,2,1000,8,Linuxjullum,independence,3.05299999999988
7,5,10000,0.5,xgboost,2,1000,8,Linuxjullum,independence,3.49600000000009
10,5,10000,0.5,xgboost,2,1000,8,Linuxjullum,independence,6.05299999999988
5,20,10000,0.5,xgboost,2,1000,8,Linuxjullum,independence,3.30499999999984
7,20,10000,0.5,xgboost,2,1000,8,Linuxjullum,independence,4.63899999999967
10,20,10000,0.5,xgboost,2,1000,8,Linuxjullum,independence,12.2330000000002
5,5,1000,0.5,xgboost,4,1000,8,Linuxjullum,independence,5.09699999999975
7,5,1000,0.5,xgboost,4,1000,8,Linuxjullum,independence,4.95699999999988
10,5,1000,0.5,xgboost,4,1000,8,Linuxjullum,independence,6.95600000000013
5,20,1000,0.5,xgboost,4,1000,8,Linuxjullum,independence,4.9079999999999
7,20,1000,0.5,xgboost,4,1000,8,Linuxjullum,independence,5.73000000000002
