rn,skillscoremean_X1,skillscoremean_X2,skillscoremean_X3,skillscoremean_total,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,mu.scale,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_AIC_full,0.929124620739141,0.921421718589291,0.790223550880361,0.880256630069597,0.193947763400943,0.532964714927812,0.0451599764076415,0.257357484912132,0.052499198983849,0.0582014596277767,0.0320572241980163,0.0475859609365473,0.1191056994918,0.0694937199623542,0.0590088908199514,0.0870370474441182,0.213771749479406,0.252104388053695,0.123623418120715,0.226969393155032,0.127901996702692,0.151256484558435,1611.689,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,3,0.2,0.5,0.1,2000,100,1,1000,1235,U6vMQ,2019-01-17T17:52:00.335537Z
empirical_independence,0,0,0,0,3.16426871033845,6.84094971763985,0.171361594638607,3.3921933408723,0.740725475212263,0.740681249104596,0.152816125606805,0.544740949974555,0.174213863357353,0.282969838904937,0.0925592520991425,0.341258403954389,Inf,Inf,Inf,Inf,Inf,Inf,9.20399999999972,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,3,0.2,0.5,0.1,2000,100,1,1000,1235,U6vMQ,2019-01-17T17:52:00.335537Z
Gaussian,0.734348302613058,0.691078711038577,-0.503494293858777,0.307310906597619,0.715180845271486,2.63469894686478,0.249640276525446,1.19984002288724,0.196774979787887,0.228812206182949,0.229758172859437,0.218448452943424,0.165790329522582,0.156462731208901,0.190847379051908,0.171761385468538,,,,,,,8.28300000000127,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,3,0.2,0.5,0.1,2000,100,1,1000,1235,U6vMQ,2019-01-17T17:52:00.335537Z
copula,0.504034844916801,0.453715696655087,-0.255975269303761,0.233925090756042,1.29698212103671,2.15856017192276,0.209101209752005,1.22154783423716,0.367374025187726,0.404622540167744,0.191933274512964,0.321309946622812,0.225142070882732,0.255670137609704,0.15768562016753,0.235135289994399,,,,,,,13.905999999999,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,3,0.2,0.5,0.1,2000,100,1,1000,1235,U6vMQ,2019-01-17T17:52:00.335537Z
treeSHAP,0.310592614058035,0.0558990404945355,-0.405707030180093,-0.013071791875841,2.11856643650125,5.05825104695822,0.237363799052369,2.47139376083728,0.510661613566706,0.699277877967355,0.214814702090369,0.474918064541477,0.104548522449911,0.170948396991301,0.136420009749007,0.243610805693675,,,,,,,0.0210000000006403,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,3,0.2,0.5,0.1,2000,100,1,1000,1235,U6vMQ,2019-01-17T17:52:00.335537Z
empirical_sigma.01,0.949941039986504,0.964499479162758,0.925886940834677,0.946775819994646,0.249997448685754,0.856621137046226,0.0456534592393444,0.384090681657108,0.0341442628453228,0.0444145540849067,0.0423532134819688,0.0403040101373994,0.0314524335750666,0.0384997380315718,0.0310334511680224,0.0340138334307053,0.1,0.1,0.1,0.1,0.1,0.1,5.52100000000064,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,3,0.2,0.5,0.1,2000,100,1,1000,1236,AfZlZ,2019-01-17T18:11:56.845851Z
empirical_AIC_each_k,0.954044209591957,0.959483935001998,0.927186469513376,0.94690487136911,0.224422199214948,1.33189103509238,0.0451309578347714,0.533814730714034,0.0313455690356681,0.0506894805406225,0.0416105749217106,0.0412152081660004,0.0285405308808463,0.0459847214995566,0.0299928521620877,0.0364740634777935,0.158855438878781,0.158855438878781,0.158855438878781,0.134227466721811,0.134227466721811,0.134227466721811,1334.917,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,3,0.2,0.5,0.1,2000,100,1,1000,1236,AfZlZ,2019-01-17T18:11:56.845851Z
empirical_AIC_full,0.956051504756502,0.965646451189364,0.939962181530892,0.953886712492253,0.212265212086427,1.16245448749128,0.037333125180387,0.470684274919363,0.029976431249188,0.0429795821490545,0.0343096691899012,0.0357552275293812,0.0270530467629763,0.0395705090047149,0.0247940103892029,0.031522071385913,0.153150180652363,0.286728404076136,0.128887112010036,0.194219389923805,0.115163918453479,0.170425381280878,1317.885,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,3,0.2,0.5,0.1,2000,100,1,1000,1236,AfZlZ,2019-01-17T18:11:56.845851Z
empirical_independence,0,0,0,0,3.04235994853237,22.0723949052726,0.623725447426519,8.57949343374384,0.682080946869797,1.25109584415769,0.571467619323229,0.834881470116904,0.138828468219034,0.218360926845598,0.159300181553066,0.345722709560458,Inf,Inf,Inf,Inf,Inf,Inf,5.6880000000001,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,3,0.2,0.5,0.1,2000,100,1,1000,1236,AfZlZ,2019-01-17T18:11:56.845851Z
Gaussian,0.688270686428824,0.80790097760375,0.625079733985129,0.707083799339234,0.881411027507847,5.07426976859639,0.221823377440073,2.0591680578481,0.2126246253677,0.240334288586703,0.21425479185555,0.222404568603318,0.171653791454641,0.200740760052747,0.165716563366202,0.179869107637597,,,,,,,5.17900000000009,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,3,0.2,0.5,0.1,2000,100,1,1000,1236,AfZlZ,2019-01-17T18:11:56.845851Z
