rn,skillscoremean_X1,skillscoremean_X2,skillscoremean_X3,skillscoremean_total,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_independence,0,0,0,0,1.08972813131362,0.544283414045501,1.25992312507573,0.964644890144951,0.267164784592382,0.285403237426668,0.287952258166158,0.280173426728403,0.189937222501659,0.219504504857251,0.217276729362283,0.208842937289592,Inf,Inf,Inf,Inf,Inf,Inf,3.96199999999953,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.44,1,0.1,2000,100,1,1000,1243,22JoV,2019-01-17T04:18:17.702804Z
Gaussian,0.897812191933091,0.875474086773406,0.933997274240266,0.902427850982254,0.170978711262931,0.0918431522005877,0.111452514469756,0.124758125977758,0.0273009837301635,0.0355400987783823,0.019005633927637,0.0272822388120609,0.0183196350874854,0.0197046923787549,0.015563331068099,0.0191205905959751,,,,,,,3.62699999999313,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.44,1,0.1,2000,100,1,1000,1243,22JoV,2019-01-17T04:18:17.702804Z
copula,0.89353299645129,0.888541522704056,0.928089557069631,0.903388025408325,0.134820444262738,0.0574582139886196,0.142325247623792,0.111534635291716,0.0284442340692876,0.0318106102589093,0.0207067744275283,0.0269872062519084,0.0238239156404702,0.0269906807016309,0.0161893404163699,0.0231861798520377,,,,,,,8.78600000000733,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.44,1,0.1,2000,100,1,1000,1243,22JoV,2019-01-17T04:18:17.702804Z
empirical_sigma.01,0.84265914634679,0.832409665738132,0.816527438437796,0.830532083507573,0.164432488666403,0.0843984901918468,0.110907394021901,0.11991279096005,0.0478082371901162,0.054440396941836,0.0564345899806199,0.052894408037524,0.0423633292313964,0.0491958570995297,0.0538615547955795,0.0486801852276279,0.1,0.1,0.1,0.1,0.1,0.1,3.63500000000204,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.64,1,0.1,2000,100,1,1000,1236,QUW2h,2019-01-17T04:27:17.003758Z
empirical_AIC_each_k,0.874539227097259,0.841393049959145,0.86532978757584,0.860420688210748,0.118220062414552,0.0788844306310357,0.0926568672250746,0.0965871200902207,0.038121430319742,0.0515222155023931,0.0414234049824597,0.0436890169348649,0.0325216979797458,0.0417717172168188,0.0442015795958548,0.0400928841598191,0.190567444814388,0.190567444814388,0.190567444814388,0.160399030862368,0.160399030862368,0.160399030862368,1694.121,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.64,1,0.1,2000,100,1,1000,1236,QUW2h,2019-01-17T04:27:17.003758Z
empirical_AIC_full,0.873984635469572,0.837220876759622,0.862723759053215,0.857976423760803,0.115196060981042,0.0797448611449629,0.0946909005218361,0.0965439408826136,0.0382899437570628,0.0528775130265166,0.0422249970565002,0.0444641512800265,0.0328847469749289,0.0426209888204904,0.0459969124307695,0.0412085560270611,0.198916016014086,0.197124468960527,0.163842475416596,0.155670025769811,0.158884707778475,0.167758520202494,1639.50999999999,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.64,1,0.1,2000,100,1,1000,1236,QUW2h,2019-01-17T04:27:17.003758Z
empirical_independence,0,0,0,0,0.774906957364546,0.597485684490574,0.827801173967218,0.733397938607446,0.303851390659726,0.324842104895919,0.307591443102442,0.312094979552696,0.216367794788855,0.243687562371682,0.212802641697945,0.224144234084373,Inf,Inf,Inf,Inf,Inf,Inf,3.9429999999993,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.64,1,0.1,2000,100,1,1000,1236,QUW2h,2019-01-17T04:27:17.003758Z
Gaussian,0.904574284235933,0.911062403273114,0.943578562348108,0.919738416619052,0.0639718002533047,0.0691766381646567,0.051405314151331,0.0615179175230975,0.0289952364396116,0.028890676125146,0.0173547514292598,0.0250802213313391,0.025104624170069,0.0259791692139446,0.0109658564504815,0.0224031553539889,,,,,,,3.7780000000057,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.64,1,0.1,2000,100,1,1000,1236,QUW2h,2019-01-17T04:27:17.003758Z
copula,0.904219376681386,0.904197800281191,0.92824194279781,0.912219706586796,0.0822263102764152,0.0643125850996898,0.0758467083686401,0.0741285345815817,0.0291030755936162,0.0311205882103171,0.0220721643690493,0.0274319427243275,0.0317379475321564,0.0280836077027537,0.0204104098050588,0.027343788412142,,,,,,,9,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.64,1,0.1,2000,100,1,1000,1236,QUW2h,2019-01-17T04:27:17.003758Z
empirical_sigma.01,0.833235680966015,0.830781322869834,0.798094583680599,0.820703862505483,0.972229719238307,0.107371675933902,0.116585477748648,0.398728957640285,0.0503887608231477,0.0546664020807522,0.061737161864408,0.055597441589436,0.0441313864050172,0.0542059934474484,0.0584888608406862,0.052653473813056,0.1,0.1,0.1,0.1,0.1,0.1,4.23099999999977,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.6,1,0.1,2000,100,1,1000,1236,HGkoT,2019-01-17T04:28:16.308756Z
