rn,skillscoremean_X1,skillscoremean_X2,skillscoremean_X3,skillscoremean_total,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_sigma.01,0.652669258075949,0.545717375871012,0.677751528571741,0.625379387506234,0.0606303990863944,0.0694956770859505,0.071011492779264,0.067045856317203,0.0688656457816448,0.0791924355242394,0.0698585440439272,0.0726388751166038,0.0824025113100099,0.107825680227257,0.0629976653716494,0.0862180503824999,0.1,0.1,0.1,0.1,0.1,0.1,12.2890000000043,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.32,1,0.1,2000,100,1,1000,1238,Hmc5u,2019-01-16T23:12:53.602690Z
empirical_AIC_each_k,0.805764103472007,0.763144992025419,0.884976009128367,0.817961701541931,0.03320496932122,0.0352296738737459,0.0243558668543952,0.0309301700164537,0.0385113634752833,0.0412895496137101,0.0249354434384126,0.0349121188424686,0.0329616509340628,0.0332051646463947,0.0210869287336067,0.0303851259194276,0.340965782301392,0.340965782301392,0.340965782301392,0.269299148265427,0.269299148265427,0.269299148265427,1830.984,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.32,1,0.1,2000,100,1,1000,1238,Hmc5u,2019-01-16T23:12:53.602690Z
empirical_AIC_full,0.798150880434296,0.758931043913699,0.8954672956453,0.817516406664432,0.0345584448726052,0.0357646129057797,0.0216810709586628,0.0306680429123492,0.0400208455270803,0.0420241425662354,0.0226610928480986,0.0349020269804714,0.0336527112783892,0.0341932190233183,0.0206767887235917,0.0312968631341439,0.38457316652227,0.316134802998908,0.309902961072284,0.300744660565878,0.254815902562851,0.25828612341114,1837.531,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.32,1,0.1,2000,100,1,1000,1238,Hmc5u,2019-01-16T23:12:53.602690Z
empirical_independence,0,0,0,0,0.164482163768268,0.154010928324322,0.210900541907308,0.176464544666633,0.19827109284989,0.174324157073095,0.216784718122331,0.196459989348439,0.152920822211259,0.137908591437252,0.150513569146562,0.147797297237934,Inf,Inf,Inf,Inf,Inf,Inf,16.3170000000027,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.32,1,0.1,2000,100,1,1000,1238,Hmc5u,2019-01-16T23:12:53.602690Z
Gaussian,0.888730210883839,0.872232599791074,0.906470309051901,0.889144373242271,0.0199874506556926,0.0223367118846606,0.0193100892484369,0.0205447505962634,0.022061582689238,0.0222729443428419,0.0202758076882525,0.0215367782401108,0.0162376023503147,0.0174113135160988,0.0159870574379812,0.0165258790182247,,,,,,,15.3369999999995,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.32,1,0.1,2000,100,1,1000,1238,Hmc5u,2019-01-16T23:12:53.602690Z
copula,0.90071397921695,0.882460650980253,0.91012595875796,0.897766862985054,0.0176973300427911,0.0194868841693551,0.0178738292132612,0.0183526811418025,0.0196855478453723,0.0204899479407878,0.0194833186971704,0.0198862714944435,0.0155328617595172,0.0153952951579416,0.0154127846864825,0.0154015107740897,,,,,,,21.0820000000022,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.32,1,0.1,2000,100,1,1000,1238,Hmc5u,2019-01-16T23:12:53.602690Z
treeSHAP,0.16943667979169,0.0137508907819133,0.0108554954191457,0.064681021997583,0.144675821599587,0.179045384870863,0.215200950508135,0.179640718992862,0.164676697178735,0.171927044628534,0.214431412607813,0.183678384805027,0.124483831364721,0.114179977559581,0.158593836582996,0.135124555981131,,,,,,,0.0780000000013388,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.32,1,0.1,2000,100,1,1000,1238,Hmc5u,2019-01-16T23:12:53.602690Z
empirical_sigma.01,0.676934255593308,0.537274361700346,0.682536567454691,0.632248394916115,0.061983627737277,0.0749614613051043,0.080359213585375,0.0724347675425854,0.0702968048725499,0.0856062806310581,0.0745565223801375,0.0768198692945818,0.0815421479488352,0.111891441730277,0.0705419534719711,0.0896451721842497,0.1,0.1,0.1,0.1,0.1,0.1,16.3249999999971,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.36,1,0.1,2000,100,1,1000,1238,Auy2t,2019-01-16T23:16:43.219767Z
empirical_AIC_each_k,0.816453665733691,0.75836623783634,0.871859244450434,0.815559716006822,0.0334069474445957,0.037816292645927,0.0283838886176434,0.0332023762360554,0.0399383749852103,0.0447033099997046,0.0300939513957262,0.0382452121268804,0.0351588346456858,0.0352193908054277,0.0247766637150756,0.0325635204581211,0.33007801261048,0.33007801261048,0.33007801261048,0.262090476556513,0.262090476556513,0.262090476556513,1781.545,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.36,1,0.1,2000,100,1,1000,1238,Auy2t,2019-01-16T23:16:43.219767Z
empirical_AIC_full,0.809016056328328,0.756669333294432,0.881302452620284,0.815662614081015,0.0348320328344496,0.0381964884080585,0.0265299236762228,0.0331861483062437,0.0415567458157272,0.0450172448120322,0.0278762069594273,0.0381500658623955,0.035531405917656,0.035857351207468,0.0254794679151866,0.0333712029235941,0.366929205730881,0.311484358976919,0.306320064345418,0.295041536016791,0.243685845104143,0.256697646773008,2078.797,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.36,1,0.1,2000,100,1,1000,1238,Auy2t,2019-01-16T23:16:43.219767Z
empirical_independence,0,0,0,0,0.178229132428542,0.161017250624656,0.232596175818066,0.190614186290421,0.217592877269144,0.185004403355798,0.234850741020375,0.212482673881772,0.168932965654783,0.14920586195308,0.167701858919711,0.16297495865301,Inf,Inf,Inf,Inf,Inf,Inf,9.87099999999919,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.36,1,0.1,2000,100,1,1000,1238,Auy2t,2019-01-16T23:16:43.219767Z
